Mouse experiment
05/11/15	16:47:18
Repetitions to be made: 15

Number	Status	Picture	Timing	Phase	Elapsed
1	False	True	False	1	1.97	
1	True	True	True	2	2.93
1	True	True	True	2	3.89
1	False	True	False	3	4.20	
1	False	True	False	3	4.45	
1	False	True	False	3	5.35	
2	False	True	False	1	1.07	
2	False	True	False	1	1.82	
2	True	True	True	2	2.48
2	True	True	True	2	3.04
2	False	True	False	3	4.41	
3	False	False	False	1	0.91	
3	False	False	False	1	1.97	
3	False	False	True	2	3.33	
3	False	False	True	2	3.53	
3	False	False	False	3	4.74	
4	False	False	False	1	0.72	
4	False	False	False	1	1.92	
4	False	False	True	2	3.09	
4	False	False	True	2	3.34	
4	False	False	False	3	4.54	
5	False	False	False	1	1.20	
5	False	False	True	2	2.23	
5	False	False	True	2	3.31	
5	False	False	True	2	3.51	
5	False	False	False	3	4.79	
6	False	False	False	1	1.10	
6	False	False	True	2	2.16	
6	False	False	True	2	3.28	
6	False	False	True	2	3.53	
6	False	False	False	3	4.73	
7	False	False	False	1	0.97	
7	False	False	True	2	2.07	
7	False	False	True	2	3.16	
7	False	False	True	2	3.41	
7	False	False	False	3	4.57	
8	False	False	False	1	0.92	
8	False	False	False	1	1.98	
8	False	False	True	2	3.24	
8	False	False	True	2	3.44	
8	False	False	False	3	4.81	
9	False	True	False	1	0.93	
9	True	True	True	2	2.19
9	True	True	True	2	3.41
9	True	True	True	2	3.61
9	False	True	False	3	4.81	
10	False	True	False	1	0.72	
10	False	True	False	1	1.83	
10	True	True	True	2	2.89
10	True	True	True	2	3.14
10	False	True	False	3	4.10	
11	False	False	False	1	0.82	
11	False	False	False	1	1.99	
11	False	False	True	2	3.10	
11	False	False	True	2	3.30	
11	False	False	False	3	4.66	
12	False	False	False	1	0.77	
12	False	False	False	1	1.99	
12	False	False	True	2	3.21	
12	False	False	True	2	3.46	
12	False	False	False	3	4.88	
13	False	False	False	1	0.92	
13	False	False	True	2	2.19	
13	False	False	True	2	3.39	
13	False	False	True	2	3.69	
13	False	False	False	3	5.15	
14	False	True	False	1	1.02	
14	True	True	True	2	2.18
14	True	True	True	2	3.31
14	True	True	True	2	3.56
14	False	True	False	3	5.17	
15	False	False	False	1	1.08	
15	False	False	True	2	2.28	
15	False	False	True	2	3.50	
15	False	False	True	2	3.75	
15	False	False	False	3	5.20	
